🖼️  Generating 10 example images (v31 - full feature set)...
⏱️  Timeout: 180 seconds

📁 Found 5062 source images

📸 Generating images...

   1/10:   4.5s (4 photos, global warp applied)
   2/10:   9.5s (4 photos, global warp applied)
   3/10:   9.4s (5 photos, global warp applied)
   4/10:   4.3s (4 photos, global warp applied)
   5/10:   9.7s (4 photos, global warp applied)
   6/10:   9.8s (5 photos, global warp applied)
   7/10:   5.1s (5 photos, global warp applied)
   8/10:   9.6s (4 photos, global warp applied)
   9/10:  11.5s (5 photos, global warp applied)
  10/10:  11.8s (5 photos, global warp applied)

============================================================
📊 VERIFICATION RESULTS
============================================================

  Total photos: 45
  Photos with rotation (±15°): 4/45
  Photos in bounds: 45/45
  Valid trapezoids: 45/45
  Subtle global perspective: 10/10

✅ Done! 10 images in 85.4s
📂 /Users/krys.petrie/dev/photo-pose-detector/data_generator/../data
   - example_01.jpg (199 KB)
   - example_02.jpg (176 KB)
   - example_03.jpg (188 KB)
   - example_04.jpg (222 KB)
   - example_05.jpg (161 KB)
   - example_06.jpg (163 KB)
   - example_07.jpg (176 KB)
   - example_08.jpg (188 KB)
   - example_09.jpg (210 KB)
   - example_10.jpg (206 KB)
============================================================
BATCH DATASET GENERATOR (v31)
============================================================
Total: 5000 (4000 train, 1000 val)
Started: 2026-04-15 14:42:55
============================================================
Source images: 5062
  [    1/5000] 4.5s/img | ETA: 6.2h | Photos: 4
  [   10/5000] 4.3s/img | ETA: 11.0h | Photos: 47
  [   20/5000] 11.6s/img | ETA: 11.1h | Photos: 94
  [   30/5000] 5.6s/img | ETA: 11.1h | Photos: 143
  [   40/5000] 12.1s/img | ETA: 11.5h | Photos: 191
  [   50/5000] 9.6s/img | ETA: 11.4h | Photos: 238
  [   60/5000] 9.9s/img | ETA: 11.1h | Photos: 284
  [   70/5000] 4.3s/img | ETA: 10.9h | Photos: 332
  [   80/5000] 12.0s/img | ETA: 10.9h | Photos: 379
  [   90/5000] 12.0s/img | ETA: 11.1h | Photos: 425
  [  100/5000] 5.3s/img | ETA: 10.9h | Photos: 471
  ✓ Checkpoint at 100
  [  110/5000] 11.8s/img | ETA: 10.9h | Photos: 518
  [  120/5000] 12.5s/img | ETA: 11.0h | Photos: 565
  [  130/5000] 11.8s/img | ETA: 10.9h | Photos: 614
  [  140/5000] 4.3s/img | ETA: 10.8h | Photos: 658
  [  150/5000] 9.2s/img | ETA: 10.8h | Photos: 706
  [  160/5000] 4.3s/img | ETA: 10.9h | Photos: 754
  [  170/5000] 12.2s/img | ETA: 10.9h | Photos: 801
  [  180/5000] 9.5s/img | ETA: 10.8h | Photos: 848
  [  190/5000] 12.5s/img | ETA: 10.8h | Photos: 895
  [  200/5000] 12.1s/img | ETA: 10.8h | Photos: 941
  ✓ Checkpoint at 200
  [  210/5000] 9.9s/img | ETA: 10.9h | Photos: 989
  [  220/5000] 5.3s/img | ETA: 10.8h | Photos: 1035
  [  230/5000] 4.3s/img | ETA: 10.8h | Photos: 1081
  [  240/5000] 5.5s/img | ETA: 10.8h | Photos: 1126
  [  250/5000] 5.7s/img | ETA: 10.8h | Photos: 1173
  [  260/5000] 10.4s/img | ETA: 10.9h | Photos: 1221
  [  270/5000] 4.6s/img | ETA: 10.8h | Photos: 1264
  [  280/5000] 10.1s/img | ETA: 10.8h | Photos: 1312
  [  290/5000] 5.7s/img | ETA: 10.8h | Photos: 1359
  [  300/5000] 9.9s/img | ETA: 10.7h | Photos: 1404
  ✓ Checkpoint at 300
  [  310/5000] 5.8s/img | ETA: 10.7h | Photos: 1452
  [  320/5000] 10.8s/img | ETA: 10.7h | Photos: 1495
  [  330/5000] 10.2s/img | ETA: 10.7h | Photos: 1544
