============================================
FIDUCIAL AUTO-RESUME SCRIPT
============================================
Started: Mon May 11 11:57:42 EDT 2026

Waiting for original fiducial training to complete...
  [11:57:43] Training still running... checking again in 60s
  [11:58:43] Training still running... checking again in 60s
  [11:59:43] Training still running... checking again in 60s
  [12:00:43] Training still running... checking again in 60s
  [12:01:43] Training still running... checking again in 60s
  [12:02:43] Training still running... checking again in 60s
  [12:03:43] Training still running... checking again in 60s
  [12:04:43] Training still running... checking again in 60s
  [12:05:43] Training still running... checking again in 60s
  [12:06:44] Training still running... checking again in 60s
  [12:07:44] Training still running... checking again in 60s
  [12:08:44] Training still running... checking again in 60s
  [12:09:44] Training still running... checking again in 60s
  [12:10:44] Training still running... checking again in 60s
  [12:11:44] Training still running... checking again in 60s
  [12:12:44] Training still running... checking again in 60s
  [12:13:44] Training still running... checking again in 60s
  [12:14:44] Training still running... checking again in 60s
  [12:15:44] Training still running... checking again in 60s
  [12:16:44] Training still running... checking again in 60s
  [12:17:45] Training still running... checking again in 60s
  [12:18:45] Training still running... checking again in 60s
  [12:19:45] Training still running... checking again in 60s
  [12:20:45] Training still running... checking again in 60s
  [12:21:46] Training still running... checking again in 60s
  [12:22:46] Training still running... checking again in 60s
  [12:23:46] Training still running... checking again in 60s
  [12:24:46] Training still running... checking again in 60s
  [12:25:47] Training still running... checking again in 60s
  [12:26:48] Training still running... checking again in 60s
  [12:27:48] Training still running... checking again in 60s
  [12:28:48] Training still running... checking again in 60s
  [12:29:48] Training still running... checking again in 60s
  [12:30:48] Training still running... checking again in 60s
  [12:31:49] Training still running... checking again in 60s
  [12:32:50] Training still running... checking again in 60s
  [12:33:50] Training still running... checking again in 60s
  [12:34:50] Training still running... checking again in 60s
  [12:35:51] Training still running... checking again in 60s
  [12:36:51] Training still running... checking again in 60s
  [12:37:52] Training still running... checking again in 60s
  [12:38:53] Training still running... checking again in 60s
  [12:39:53] Training still running... checking again in 60s
  [12:40:54] Training still running... checking again in 60s
  [12:41:55] Training still running... checking again in 60s
  [12:42:55] Training still running... checking again in 60s
  [12:43:55] Training still running... checking again in 60s
  [12:44:55] Training still running... checking again in 60s
  [12:45:55] Training still running... checking again in 60s
  [12:46:55] Training still running... checking again in 60s
