epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,3989.35,1.28745,4.2625,0.64954,1.35543,0.02893,9.17286,0.01879,0.09098,0.00992,0.00246,0.18191,0.202,0.09213,0.05496,1.70091,6.6137,0.28427,3.37313,0.0375,0,0.000663121,0.000663121,0.0675071
2,7254.16,1.13198,1.54725,0.57242,1.22842,0.02502,6.14577,0.16486,0.21126,0.10662,0.02972,0.34746,0.38551,0.28672,0.16584,1.39876,4.09097,0.30669,2.50243,0.02847,0,0.00132101,0.00132101,0.0348316
3,10491.2,1.01212,0.8795,0.56437,1.09129,0.02094,5.03754,0.18267,0.3616,0.13755,0.03741,0.43273,0.39399,0.39532,0.30334,1.37127,2.08983,0.25836,1.66088,0.02747,0,0.0019701,0.0019701,0.00214741
4,13738.9,0.9755,0.67869,0.55361,1.05837,0.01923,4.56098,0.06042,0.202,0.04383,0.01094,0.2062,0.31843,0.13603,0.10006,1.58179,3.92048,0.23806,1.85878,0.03511,0,0.0019604,0.0019604,0.0019604
5,16964.6,0.89354,0.57803,0.54391,0.97993,0.01705,4.14856,0.15302,0.54356,0.13978,0.04939,0.51529,0.66076,0.5852,0.53212,1.15266,1.20918,0.27397,1.43027,0.01839,0,0.0019472,0.0019472,0.0019472
6,20197,0.84802,0.50011,0.54799,0.94928,0.0154,3.80504,0.18838,0.46184,0.18327,0.05699,0.49276,0.61527,0.57461,0.53209,1.09123,0.89262,0.21793,1.60156,0.01671,0,0.001934,0.001934,0.001934
7,23555.5,0.80972,0.38299,0.55287,0.8871,0.01401,3.31563,0.24926,0.61527,0.25262,0.08798,0.66187,0.76947,0.7526,0.69261,1.00051,0.80885,0.24575,1.24785,0.0119,0,0.0019208,0.0019208,0.0019208
8,26703.9,0.75419,0.33161,0.53124,0.85913,0.01225,3.08554,0.20015,0.44626,0.2541,0.0821,0.56845,0.68311,0.64182,0.6097,0.9568,0.7385,0.185,1.52873,0.01203,0,0.0019076,0.0019076,0.0019076
9,29821.5,0.76423,0.32916,0.5356,0.83014,0.01218,3.00444,0.19304,0.57903,0.18224,0.06256,0.75211,0.78797,0.83464,0.79832,1.05861,0.62641,0.20403,1.38295,0.01279,0,0.0018944,0.0018944,0.0018944
10,32926.6,0.72542,0.26136,0.53212,0.81333,0.01075,2.82553,0.2214,0.55667,0.24934,0.08112,0.72322,0.7926,0.81917,0.79055,1.03021,0.48998,0.16597,1.28402,0.01064,0,0.0018812,0.0018812,0.0018812
